Matricule,Date.presence,Lieu.travail,Population,Site,Type.de.contrat,Duree.travail,Temps.travail,Experience
1243,2021-01-05,TELE,CAS,A,CDI,7.333333,100,5783
1243,2021-01-07,TELE,CAS,A,CDI,0.883333,100,5784
1243,2021-01-08,TELE,CAS,A,CDI,7.333333,100,5785
1243,2021-01-11,TELE,CAS,A,CDI,6.95,100,5786
1243,2021-01-12,TELE,CAS,A,CDI,7.333333,100,5787
1243,2021-01-13,TELE,CAS,A,CDI,7.333333,100,5788
1243,2021-01-14,TELE,CAS,A,CDI,4.0,100,5789
1243,2021-01-15,TELE,CAS,A,CDI,7.333333,100,5790
1243,2021-01-18,TELE,CAS,A,CDI,3.666666,100,5791
1243,2021-01-19,TELE,CAS,A,CDI,7.333333,100,5792
1243,2021-01-20,TELE,CAS,A,CDI,4.8,100,5793
1243,2021-01-21,TELE,CAS,A,CDI,7.333333,100,5794
1243,2021-01-22,TELE,CAS,A,CDI,7.333333,100,5795
1243,2021-01-25,TELE,CAS,A,CDI,7.333333,100,5796
1243,2021-01-26,TELE,CAS,A,CDI,7.333333,100,5797
1243,2021-01-27,TELE,CAS,A,CDI,7.166666,100,5798
1243,2021-01-28,TELE,CAS,A,CDI,1.75,100,5799
1243,2021-01-29,TELE,CAS,A,CDI,4.0,100,5800
1243,2021-02-01,TELE,CAS,A,CDI,7.333333,100,5801
1243,2021-02-02,TELE,CAS,A,CDI,5.75,100,5802
1243,2021-02-03,TELE,CAS,A,CDI,3.666666,100,5803
1243,2021-02-04,TELE,CAS,A,CDI,5.333333,100,5804
1243,2021-02-08,TELE,CAS,A,CDI,7.333333,100,5805
1243,2021-02-09,TELE,CAS,A,CDI,5.0,100,5806
1243,2021-02-10,TELE,CAS,A,CDI,7.333333,100,5807
1243,2021-02-11,TELE,CAS,A,CDI,7.333333,100,5808
1243,2021-02-12,TELE,CAS,A,CDI,6.0,100,5809
1243,2021-02-16,TELE,CAS,A,CDI,0.583333,100,5810
1243,2021-02-17,TELE,CAS,A,CDI,7.333333,100,5811
1243,2021-02-18,TELE,CAS,A,CDI,7.333333,100,5812
