Numero_dossier_ID,Client,Formule,date.ouverture,heure.ouverture,Matricule.de.traitement,Cause.intervention,date.de.survenance,Type.d.energie,Outil.d.assistance,Assistance.ou.Administratif,TOP.D.R,TOP.VR,TOP.Rappat.valide,TOP.Poursuite,TOP.Recup,TOP.Autres.Garanties,annee.ouverture,mois.ouverture
7494402,C5,F99,2021-02-11,10:38:00,326,Panne mécanique,2021-02-11,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,2
7569082,C4,F14,2022-07-12,18:40:00,1164,Panne mécanique,2022-07-12,Essence,MCS,,1,0,0,0,0,0,2022,7
8111190,C0,F1,2021-01-08,12:32:00,1337,Panne mécanique,2021-01-08,Essence,MCS,Assistance,1,1,0,0,0,0,2021,1
5630809,C7,F72,2021-11-08,19:46:00,1322,Panne mécanique,2021-11-08,Essence,MCS,Assistance,1,0,0,0,0,0,2021,11
8179409,C4,F4,2021-08-11,18:12:00,2306,Panne mécanique,2021-08-11,Essence,Higgins,,1,0,0,0,0,0,2021,8
7140692,C1,F0,2022-06-08,18:02:00,527,Panne mécanique,2022-06-08,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,6
7672949,C1,???,2021-07-24,,1086,"Clés, Carburant, Crevaison",2021-07-24,Essence,Higgins,Assistance,1,0,0,0,0,0,2021,7
6869751,C4,F4,2021-12-10,10:42:00,455,Accident,2021-12-10,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,12
6466938,C11,F25,2022-11-12,17:05:00,556,Panne mécanique,2022-11-12,Essence,MCS,Assistance,1,0,0,0,0,0,2022,11
7243702,C16,F38,2021-09-13,08:52:00,613,Panne mécanique,2021-09-13,Essence,MCS,Assistance,1,0,0,0,0,0,2021,9
7529180,C0,F18,2021-04-03,12:19:00,728,Accident,2021-04-03,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,4
5712544,C1,F18,2022-05-30,14:30:00,1072,Inconnue,2022-05-30,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,5
8277707,C1,F18,2022-04-15,20:09:00,486,Accident,2022-04-15,Essence,MCS,Assistance,1,0,0,0,0,0,2022,4
6445241,C3,F24,2022-01-03,10:51:00,1626,Panne mécanique,2022-01-03,Diesel,Higgins,Assistance,1,0,0,0,0,0,2022,1
8308340,C1,F6,2022-05-09,14:19:00,477,Panne mécanique,2022-05-09,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,5
5881940,C4,F4,2021-09-22,15:57:00,987,Panne mécanique,2021-09-22,Diesel,MCS,,1,0,0,0,0,0,2021,9
7328591,C3,F3,2022-03-23,08:57:00,453,Panne mécanique,2022-03-23,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,3
7205711,C12,F26,2021-11-05,14:24:00,211,Accident,2021-11-05,Essence,MCS,Assistance,1,0,0,0,0,0,2021,11
7121694,C25,F79,2022-04-01,16:45:00,1217,Panne mécanique,2022-04-01,Diesel,MCS,,1,0,0,0,0,0,2022,4
5680729,C1,F1,2021-01-14,16:52:00,651,"Clés, Carburant, Crevaison",2021-01-14,Essence,MCS,Assistance,1,0,0,0,0,0,2021,1
6816394,C4,F4,2021-11-10,18:03:00,614,Panne mécanique,2021-11-10,Essence,MCS,Assistance,1,0,1,0,0,0,2021,11
7256841,C4,???,2021-08-04,21:05:00,1618,Accident,2021-08-04,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,8
8116742,C3,F3,2021-04-01,14:40:00,671,Panne mécanique,2021-04-01,Diesel,MCS,Assistance,1,0,0,0,0,0,2021,4
8353039,C3,F63,2022-10-11,08:49:00,1305,"Clés, Carburant, Crevaison",2022-10-11,Electricité,Higgins,Assistance,1,0,0,0,0,0,2022,10
6842174,C3,F3,2022-08-14,14:28:00,1264,Panne mécanique,2022-08-14,Hybride,MCS,Assistance,1,0,0,0,0,0,2022,8
7957000,C4,F8,2021-11-13,05:12:00,1383,Accident,2021-11-13,Essence,MCS,Assistance,1,0,0,0,0,0,2021,11
7437581,C3,F10,2021-02-20,11:52:00,1070,Accident,2021-02-20,Essence,MCS,Assistance,1,0,0,0,0,0,2021,2
6907008,C5,F36,2022-07-03,,1151,"Clés, Carburant, Crevaison",2022-07-03,Essence,MCS,Assistance,1,1,0,0,0,0,2022,7
7959734,C3,F7,2022-03-07,09:07:00,693,Panne mécanique,2022-03-07,Diesel,Higgins,,0,0,0,0,0,1,2022,3
8341789,C1,F6,2022-03-22,14:42:00,898,Accident,2022-03-22,Diesel,MCS,Assistance,0,0,1,0,0,0,2022,3
8414725,C8,F32,2021-10-20,11:40:00,770,Panne mécanique,2021-10-20,Essence,MCS,Assistance,1,0,0,0,0,0,2021,10
6855648,C3,F5,2021-02-08,18:22:00,1116,Panne mécanique,2021-02-08,Essence,Higgins,Assistance,1,0,0,0,0,0,2021,2
6768357,C15,F197,2021-10-19,17:45:00,410,Accident,2021-10-19,Autre,MCS,Assistance,1,0,0,0,0,0,2021,10
7774198,C8,F55,2022-09-02,19:39:00,464,Panne mécanique,2022-09-02,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,9
6381960,C4,F4,2022-01-31,14:52:00,299,Panne mécanique,2022-01-27,Essence,Higgins,Assistance,1,0,0,0,0,0,2022,1
5639004,C3,F7,2022-08-18,11:41:00,171,Panne mécanique,2022-08-18,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,8
8351997,C10,F124,2022-08-06,14:32:00,1578,Panne mécanique,2022-08-06,Diesel,MCS,Assistance,1,0,0,0,0,0,2022,8
